file_name,P_bins,P,cluster1,cluster2,is_R,is_EL,is_LHD,is_X,is_H1,is_H3,is_H5,is_NS,is_E,i_hm2/i_hm1,i_hm3/i_hm1,i_hm4/i_hm1,i_hm5/i_hm1,i_thd,P_F,Label,Is_test
15,0,10.512458222891999,1,0,0,1,0,0,0,0,0,0,0,0.0030040685962375844,0.7377763195964341,0.0011711733586619733,0.35388708235840405,0.984240013620438,0.5302375284168998,Compact Fluorescent Lamp,0
16,0,11.096958549980002,1,0,0,1,0,0,0,0,0,0,0,0.005401638742627339,0.7360440532722058,0.002686685541495726,0.35228653991231124,0.9736035463304497,0.5465327422971825,Compact Fluorescent Lamp,0
17,2,92.03523733062,0,2,1,0,0,0,0,1,0,0,0,0.015729029563896067,0.11644462669412747,0.0074820919699253655,0.08837388548930666,0.1903043964691583,0.9783401642033019,Fridge,0
18,3,193.4150459021,0,1,1,0,0,0,1,0,0,0,0,0.0027632961137162683,0.042102652283984514,0.000988101638161796,0.032091841066808326,0.059570126126778186,0.9923689109728518,Hairdryer,0
19,3,194.51672316251998,0,1,1,0,0,0,1,0,0,0,0,0.0008552124299557164,0.041436752452899885,0.00031688627852353486,0.03196643576257268,0.05898206991843385,0.992492948941868,Hairdryer,0
20,3,201.96980044733996,0,1,1,0,0,0,1,0,0,0,0,0.0003080712448520284,0.041660868701036864,0.00036334759283095135,0.03175732635694574,0.05904073647715687,0.9925179367229858,Hairdryer,0
21,3,208.861952634062,0,1,1,0,0,0,1,0,0,0,0,0.0019506137807301898,0.04161495583531173,0.0008162665441333915,0.03158802330278745,0.058839651189066186,0.9927235075474892,Hairdryer,0
22,0,18.44440466434,1,0,0,1,0,0,0,0,0,0,0,0.051478286701448786,0.9449389638792244,0.04769186191138759,0.7558576990197439,1.5182274108374054,0.4969270161780986,Laptop,0
23,1,20.5319933192,1,0,0,1,0,0,0,0,0,0,0,0.004383092751288552,0.9390068434019232,0.009384523357489093,0.7483869875957498,1.4940327863524363,0.4996717731597552,Laptop,0
24,1,19.46630354546,1,0,0,1,0,0,0,0,0,0,0,0.0046897508054611825,0.9394556970252228,0.00973260538190844,0.7413359765353411,1.4542461656348655,0.4986668764086748,Laptop,0
25,1,19.367371310164,1,0,0,1,0,0,0,0,0,0,0,0.026028214096733008,0.9412563279574332,0.02117900987550797,0.7425449009772495,1.4671263040274098,0.4975558462513021,Laptop,0
26,1,19.637268436048,1,0,0,1,0,0,0,0,0,0,0,0.0393234459464122,0.9393814023504341,0.03431751489049094,0.7417294979430229,1.445342854450623,0.4988437354362308,Laptop,0
27,3,258.75872709178,3,3,0,0,0,1,0,0,1,0,0,0.018043200436851124,0.5009692916565133,0.016577784145607618,0.2320930721072849,0.5554513959033444,0.3217119770010092,Microwave,0
28,3,237.43052941144,3,3,0,0,0,1,0,0,1,0,0,0.01160182257613011,0.5261287783932115,0.014174815868934576,0.22627080025380314,0.5753900101759529,0.2979254864145677,Microwave,0
29,3,255.44682974607997,3,3,0,0,0,1,0,0,1,0,0,0.018047113256456884,0.5042640209929231,0.020954452978637243,0.23020026215468276,0.5578850881387242,0.32036700340713936,Microwave,0
30,3,281.41190715876,3,3,0,0,0,1,0,0,1,0,0,0.02503008274689806,0.4766893980910542,0.022206353461757082,0.2354726386835635,0.5360952575325368,0.34913985485323035,Microwave,0
31,3,233.56714276948003,3,3,0,0,0,1,0,0,1,0,0,0.006005685992128832,0.5313813853870121,0.013115999635770929,0.2266067220811446,0.5800858472739293,0.2933009339035409,Microwave,0
32,2,117.80895454799999,0,1,1,0,0,0,1,0,0,0,0,0.0005579178699297954,0.018388908621809932,2.6429861067679754e-05,0.004362595793966107,0.01988655944741957,0.982926600900104,Air Conditioner,0
33,2,119.41172620610399,0,1,1,0,0,0,1,0,0,0,0,0.0006102146810677639,0.018732447537249373,0.0008011261111014067,0.0051481495637623895,0.020422388015477497,0.984104922341582,Air Conditioner,0
34,0,8.371265413596001,1,0,0,1,0,0,0,0,0,0,0,0.0017806421346613114,0.8784802896353875,0.0018556209585476012,0.5451372762186546,1.2634058869773996,0.491461890934202,Compact Fluorescent Lamp,0
35,0,7.955166807868,1,0,0,1,0,0,0,0,0,0,0,0.009944137949089944,0.8848386861512625,0.011123727283342896,0.5516579843261509,1.2703422166225422,0.4739557059646812,Compact Fluorescent Lamp,0
36,0,8.490349281257997,1,0,0,1,0,0,0,0,0,0,0,0.005257527128979536,0.8745425668420321,0.004083833991624194,0.5447105874833028,1.2534397669147894,0.4934581032729205,Compact Fluorescent Lamp,0
37,0,8.047495338904001,1,0,0,1,0,0,0,0,0,0,0,0.010579582997842231,0.8822472126841485,0.003362033157201352,0.5486012944094474,1.2670675085629397,0.4776215833673676,Compact Fluorescent Lamp,0
38,0,8.175696793825999,1,0,0,1,0,0,0,0,0,0,0,0.00486197483691655,0.8829605092164031,0.004329899274217116,0.5480302379548859,1.2621296941328617,0.4811554641952731,Compact Fluorescent Lamp,0
39,3,329.37488579734,0,1,1,0,0,0,1,0,0,0,0,0.018594202318751567,0.057518880669788684,0.0017802621342588715,0.030149911430847918,0.07304662375799642,0.9740678751906844,Fridge,0
40,0,6.98182948486,1,0,0,1,0,0,0,0,0,0,0,0.03823666646768505,1.0792380720576835,0.02949196691193104,0.9710048781166156,1.984391143022621,0.3809317225765258,Laptop,0
41,0,8.54964708082,1,0,0,1,0,0,0,0,0,0,0,0.06273062573845463,1.0367773751297171,0.05296953500347913,0.928401566180968,1.8813505452004988,0.4063491783418877,Laptop,0
42,0,7.333779372059999,1,0,0,1,0,0,0,0,0,0,0,0.01808518961924964,1.063969641585273,0.020801601688162138,0.959161113582444,1.949826047492476,0.3846035597334659,Laptop,0
43,0,9.10293053638,1,0,0,1,0,0,0,0,0,0,0,0.010667195124642405,1.0135960942908495,0.010604246359859824,0.8954098807471441,1.7607396137476146,0.40896017142806784,Laptop,0
44,0,7.238002347059998,1,0,0,1,0,0,0,0,0,0,0,0.015526862186124753,1.0654206866615399,0.016597211499232274,0.9617567366873866,1.9575351671933947,0.38488015548440463,Laptop,0
45,4,657.895544555068,0,2,1,0,0,0,0,1,0,0,0,0.0005937452718182535,0.2220011356019391,0.0002003201021870531,0.017673243930690908,0.2233829634307493,0.973722032650866,Vacuum,0
46,4,655.855200134916,0,2,1,0,0,0,0,1,0,0,0,0.0009336448283741764,0.2200851545537949,0.000462384097697184,0.016953251002586697,0.22143023304140014,0.9742329853838501,Vacuum,0
47,4,653.981182076712,0,2,1,0,0,0,0,1,0,0,0,0.0008513512345126303,0.21898299179177025,0.00030933237612163297,0.017145938645030747,0.22032692303997525,0.9744201442800108,Vacuum,0
48,4,653.6869881348,0,2,1,0,0,0,0,1,0,0,0,0.0005672787053007832,0.2182227278376741,0.0002800573298129184,0.016942062919441912,0.21958011095564514,0.9746289308110312,Vacuum,0
49,4,651.025613584214,0,2,1,0,0,0,0,1,0,0,0,0.0009024229956980283,0.2174662103732737,0.00042891075331212797,0.01673358546460796,0.2187534199486078,0.974638771577754,Vacuum,0
50,2,65.62213130383999,0,1,1,0,0,0,1,0,0,0,0,0.0009475942152367236,0.012577360338103577,0.0008686071964220577,0.006721466752616143,0.015186220425073647,0.9864216485332088,Incandescent Light Bulb,0
51,2,67.08590994283401,0,1,1,0,0,0,1,0,0,0,0,0.0003367397610174795,0.012010771728004088,0.0006803580011561798,0.005952997606818848,0.014489733171105263,0.9858514450787133,Incandescent Light Bulb,0
52,2,67.197048790464,0,1,1,0,0,0,1,0,0,0,0,0.0014612067469626801,0.011552848790106252,0.0012679687771028484,0.006387737083394205,0.014398561651584416,0.9845476146359236,Incandescent Light Bulb,0
53,2,63.56057754589999,0,1,1,0,0,0,1,0,0,0,0,0.0006204221221155536,0.011439215976800164,0.0006543479359455102,0.006576266213541725,0.014141545865955984,0.9854647142390892,Incandescent Light Bulb,0
54,0,7.911438115048001,1,0,0,1,0,0,0,0,0,0,0,0.0045111124428238725,0.8725345786175794,0.010559878561608815,0.5345717448846506,1.138158135891728,0.4496572977986888,Compact Fluorescent Lamp,0
55,0,8.641971858016,1,0,0,1,0,0,0,0,0,0,0,0.005425265946623105,0.8672180873359961,0.01298789766547933,0.5280290262811795,1.126506482895257,0.473472618848557,Compact Fluorescent Lamp,0
56,1,29.33229420804,0,1,1,0,0,0,1,0,0,0,0,0.005485175769520554,0.029219392937901763,0.007154271826246931,0.01687000241888946,0.035882028335683824,0.9248703791775016,Fan,0
57,1,29.449815425300002,0,1,1,0,0,0,1,0,0,0,0,0.00839575523602277,0.029268909196379457,0.008916982644403113,0.017530777666830127,0.03738708809034467,0.9236281541055992,Fan,0
58,1,29.286079740820004,0,1,1,0,0,0,1,0,0,0,0,0.0034089433226670105,0.029579738056658686,0.0034251499546959024,0.020322327929578683,0.03675734830082966,0.923996744035248,Fan,0
59,1,29.169185579459995,0,1,1,0,0,0,1,0,0,0,0,0.008585567175161502,0.029435096880066958,0.008154714299730033,0.016224403585281304,0.0367882300278869,0.9236131579183354,Fan,0
60,1,29.160157724719998,0,1,1,0,0,0,1,0,0,0,0,0.0054824315887761575,0.029211906540059205,0.007698463216750936,0.017592452073348794,0.03647356068754087,0.9232364949817506,Fan,0
61,2,114.95221556074,3,2,0,0,0,1,0,1,0,0,0,0.01825664771746359,0.07478106987436459,0.0024857007091534647,0.02089900123700081,0.08207587835460015,0.7747628154409566,Fridge,0
62,4,1501.8548980204998,0,1,1,0,0,0,1,0,0,0,0,0.0001703461662375751,0.02027597352804768,0.00025304748441143377,0.005972012347679331,0.021639836304489245,0.9963778810284964,Hairdryer,0
63,4,1500.9239005375,0,1,1,0,0,0,1,0,0,0,0,0.00014718076118880509,0.020106188321379902,9.175942517977465e-05,0.006024989015420804,0.021550681873100042,0.9963899606019764,Hairdryer,0
64,4,1495.9399029665801,0,1,1,0,0,0,1,0,0,0,0,0.0003382201911544277,0.019802092837456643,0.00030025833165248686,0.006125404415530436,0.02138119355249522,0.9963948550528421,Hairdryer,0
65,4,1499.6248436487601,0,1,1,0,0,0,1,0,0,0,0,8.958977784723744e-05,0.02005413219923092,0.00028451015260487717,0.005483771928080538,0.021440871181738017,0.9963910301893746,Hairdryer,0
66,4,1502.98236789344,0,1,1,0,0,0,1,0,0,0,0,0.00013121474376178103,0.01999094610140044,0.00016309014332211065,0.006066288012607974,0.021432990890722783,0.9963811638447656,Hairdryer,0
67,0,14.265334962850002,1,0,0,1,0,0,0,0,0,0,0,0.016728464861831882,1.0211581653884336,0.01714087225391368,0.9298118441780476,1.8458928005223785,0.4354705729224093,Laptop,0
68,0,12.05710344692,1,0,0,1,0,0,0,0,0,0,0,0.01947678012559101,1.0349692161771682,0.02272992982021704,0.9465458976356348,1.8904862155988744,0.4281923202611723,Laptop,0
69,1,19.382093556052002,2,5,0,0,1,0,0,0,0,0,1,0.07640024049626694,0.9689785344570424,0.046936525510257336,0.8431869371300729,1.6251730848378951,0.4793312175435674,Laptop,0
70,0,17.711904865118,2,5,0,0,1,0,0,0,0,0,1,0.04939922319178265,0.9751696565516323,0.03848651876813658,0.8580783004848576,1.6519436065984976,0.4803189803834137,Laptop,0
71,0,12.556085267419999,0,3,1,0,0,0,0,0,1,0,0,0.007200065399777489,0.14490516472391227,0.002865834581534975,0.1844663847307948,0.24961190461289035,0.8187039623149791,Washing Machine,0
72,0,10.845366556020002,1,0,0,1,0,0,0,0,0,0,0,0.0030654888165001885,0.8500733754039319,0.001154290157287951,0.4940025520974058,1.1064698248511722,0.5187773650401674,Compact Fluorescent Lamp,0
73,0,10.77288560662,1,0,0,1,0,0,0,0,0,0,0,0.0035321336402088454,0.8470153373696128,0.008000417337715712,0.48933776241221505,1.0989110239742288,0.5137675429654159,Compact Fluorescent Lamp,0
74,2,124.65636444719999,0,1,1,0,0,0,1,0,0,0,0,0.001401001529469074,0.10761207326619883,0.0010000008137597733,0.02239443843011229,0.11063129813179176,0.9901399693046676,Air Conditioner,0
75,4,870.6878906339999,0,2,1,0,0,0,0,1,0,0,0,0.06799315394263017,0.08077702491406659,0.011444948841865777,0.047091191933146336,0.11812191129708866,0.9641004260450371,Air Conditioner,0
76,0,6.9044855934000005,1,0,0,1,0,0,0,0,0,0,0,0.007416239927255468,0.8993292943219872,0.004018499507669845,0.5462011194140902,1.4028493906452857,0.4549530075202332,Compact Fluorescent Lamp,0
77,0,7.099943412399999,1,0,0,1,0,0,0,0,0,0,0,0.010978125700836693,0.8892297704565727,0.006630730648019539,0.5398111701231192,1.3932776165601861,0.4558407259055092,Compact Fluorescent Lamp,0
78,0,7.140317736999999,1,0,0,1,0,0,0,0,0,0,0,0.009393429254988723,0.887596801724208,0.0019937036417846995,0.5392298946090747,1.3878620456771995,0.4596864025053559,Compact Fluorescent Lamp,0
79,0,7.6390508471999965,1,0,0,1,0,0,0,0,0,0,0,0.0031906538156772357,0.8699545804360643,0.0015441043355165864,0.522388988038415,1.3560200618793707,0.478092953070685,Compact Fluorescent Lamp,0
80,0,7.774677480599999,1,0,0,1,0,0,0,0,0,0,0,0.00919062528932527,0.8593613710372187,0.003909979020657517,0.5162164425159286,1.3396122821396814,0.4874572737122072,Compact Fluorescent Lamp,0
81,0,7.269435604400003,1,0,0,1,0,0,0,0,0,0,0,0.011389879337794331,0.8866729835533239,0.0038346188170729975,0.5350273521951862,1.3816922381595422,0.4666205543445471,Compact Fluorescent Lamp,0
82,0,8.9538580464,1,0,0,1,0,0,0,0,0,0,0,0.009808204121062213,0.8421339067897039,0.0014337647691944747,0.4860321614378081,1.182291784599374,0.514692155171508,Compact Fluorescent Lamp,0
83,0,8.876147765799997,1,0,0,1,0,0,0,0,0,0,0,0.0071578798466200595,0.8488087998203027,0.001175951927984462,0.4925254593749646,1.1841580192695076,0.5090350049553335,Compact Fluorescent Lamp,0
84,0,8.287677384,1,0,0,1,0,0,0,0,0,0,0,0.002201590141076005,0.8653571397458598,0.0010304132931308351,0.5037259626293779,1.2100040141645592,0.4888541099673367,Compact Fluorescent Lamp,0
85,0,8.928548041400003,1,0,0,1,0,0,0,0,0,0,0,0.007688059866296406,0.845590650751227,0.004184339694968072,0.492948652499188,1.1783805073788078,0.5096454604500237,Compact Fluorescent Lamp,0
86,0,8.562334136799999,1,0,0,1,0,0,0,0,0,0,0,0.009285651770952849,0.8456364364001264,0.008431862602456127,0.4898141765488305,1.1823266190941584,0.4961749282605468,Compact Fluorescent Lamp,0
87,0,7.892457649600001,1,0,0,1,0,0,0,0,0,0,0,0.012541801067245608,0.8576237824461549,0.01089364569453104,0.4981812506567467,1.2150632697806378,0.4775152154299174,Compact Fluorescent Lamp,0
88,0,13.177744376400002,0,2,1,0,0,0,0,1,0,0,0,0.006568913956410624,0.20572514508309836,0.010131182988745852,0.0254003716453542,0.20799982531162636,0.8780927550368895,Fan,0
89,0,13.056762008000002,0,2,1,0,0,0,0,1,0,0,0,0.0009475452242243075,0.2071867037284408,0.00436405989492125,0.0272160302142482,0.20949304085551912,0.8746687726973498,Fan,0
90,0,13.095086718,0,2,1,0,0,0,0,1,0,0,0,0.002802705457388207,0.20387526490694527,0.006715862076902343,0.024710441833321453,0.20593819869175314,0.8782563550560467,Fan,0
91,0,13.1270191674,0,2,1,0,0,0,0,1,0,0,0,0.004333015660617964,0.20419925442232506,0.00260701390162021,0.02438026800694972,0.20606391246087707,0.8788551855662371,Fan,0
92,0,13.003714502000001,0,2,1,0,0,0,0,1,0,0,0,0.00609872446188654,0.20881399519027505,0.0026478787703610143,0.025536332186966715,0.21079908337234451,0.8749865247223807,Fan,0
93,2,111.0456289616,0,2,1,0,0,0,0,1,0,0,0,0.019315213103195585,0.1108240964733563,0.004444586740236246,0.07523550035081282,0.14400029045581447,0.9716582498394746,Fridge,0
94,3,151.00008047720004,0,2,1,0,0,0,0,1,0,0,0,0.01550094258798,0.08302475392474064,0.003202775744083663,0.060450653271300316,0.11034020733664768,0.9889224767148652,Fridge,0
95,3,162.5546381516,0,2,1,0,0,0,0,1,0,0,0,0.011461791577733036,0.0792623346732753,0.002709917455752296,0.053056965934530256,0.10085774651458107,0.9902857623323348,Fridge,0
96,4,796.5658767568,0,1,1,0,0,0,1,0,0,0,0,0.00023008941867827545,0.03415840507384706,0.00011392141778086472,0.014303031423681613,0.038926964197029255,0.9968778095682336,Hairdryer,0
97,4,752.5671527653999,0,1,1,0,0,0,1,0,0,0,0,0.04809229164443105,0.027917547930581342,0.00138361278846736,0.012711822552095428,0.05834633271408796,0.9951284655526814,Hairdryer,0
98,4,749.9059813552002,0,1,1,0,0,0,1,0,0,0,0,0.04853482796532781,0.02876999776610689,0.0015949962873571626,0.013509834377724713,0.05928399475092432,0.9951286805356386,Hairdryer,0
99,4,752.1485756837999,0,1,1,0,0,0,1,0,0,0,0,0.04892666766618118,0.028629902508295956,0.001390641288851178,0.01323105346567629,0.05941186291150656,0.9951317465191308,Hairdryer,0
100,4,750.3790289028,0,1,1,0,0,0,1,0,0,0,0,0.04793993931172251,0.028111046494929855,0.0015958866889818814,0.012979867845621879,0.05838429439876135,0.995131104815115,Hairdryer,0
101,4,797.4241147542,0,1,1,0,0,0,1,0,0,0,0,0.00026229842130689194,0.03505768038645452,0.00021349355972963665,0.013543848521427652,0.03939855427719168,0.9970192414753792,Hairdryer,0
102,0,10.2672098516,1,0,0,1,0,0,0,0,0,0,0,0.024331954597173976,1.0424771823428562,0.020262277446957945,0.8984465203291929,1.7863483486626002,0.4425364833591896,Laptop,0
103,0,10.6372585736,1,0,0,1,0,0,0,0,0,0,0,0.014753105662730187,1.0398316549594273,0.012430217012245124,0.8895573327874026,1.7650140390031834,0.4476765869840893,Laptop,0
104,0,14.708336139000002,1,0,0,1,0,0,0,0,0,0,0,0.0030534023280480273,0.9720242164877524,0.002998743268885756,0.7861679270665148,1.5526119111717989,0.4883675261408434,Laptop,0
105,0,14.435863256600001,1,0,0,1,0,0,0,0,0,0,0,0.009979175878380537,0.9710338396593208,0.007011608690846614,0.7902847343205484,1.5744052785341442,0.4803158780734469,Laptop,0
106,0,10.1232582012,1,0,0,1,0,0,0,0,0,0,0,0.0039750484668759755,1.0498003563934917,0.006926311598134372,0.9044349639225728,1.814288438801224,0.4372637766774728,Laptop,0
107,1,36.1023146754,0,1,1,0,0,0,1,0,0,0,0,0.0009012033367736274,0.019959240104282502,0.0002725085765219779,0.01850900049539953,0.031182632772175176,0.9802143095887421,Incandescent Light Bulb,0
108,1,36.0889788198,0,1,1,0,0,0,1,0,0,0,0,0.0027223162401282123,0.019207284688745458,0.0021555250851316033,0.01892948644218785,0.031534886619643376,0.9794938859807096,Incandescent Light Bulb,0
109,1,36.293814543,0,1,1,0,0,0,1,0,0,0,0,0.002305073554146184,0.021336059141564844,0.0015568169338008749,0.0180413678240774,0.03195824881645281,0.9806822525873238,Incandescent Light Bulb,0
110,1,36.267084030999996,0,1,1,0,0,0,1,0,0,0,0,0.0019558507997534625,0.021014649482000842,0.0009104396146448867,0.018101203696323915,0.03208118146503836,0.9809923612855076,Incandescent Light Bulb,0
111,1,36.18204341599999,0,1,1,0,0,0,1,0,0,0,0,0.0008483591177876616,0.01936520094399409,0.00094255697093129,0.018986302230816352,0.03168453699305722,0.9805274375259964,Incandescent Light Bulb,0
112,1,33.257719175,0,1,1,0,0,0,1,0,0,0,0,0.0020216364422540366,0.04988207320756554,0.002804374622298313,0.06314932871313984,0.08764418621199281,0.8918000640634197,Fan,0
113,1,33.240617402000005,0,1,1,0,0,0,1,0,0,0,0,0.003091516740511145,0.049715112866334205,0.003487577032592096,0.06549780298239387,0.08934020789451437,0.8892610961567406,Fan,0
114,1,32.8210141374,0,1,1,0,0,0,1,0,0,0,0,0.0038433360278291133,0.04919574363363872,0.004367631823051583,0.06328613135248576,0.0878509450302733,0.8876845268943534,Fan,0
115,1,33.0487588042,0,1,1,0,0,0,1,0,0,0,0,0.003703463326175104,0.0485009862917312,0.004093557274330616,0.06444302483145989,0.08858246272599635,0.8867386859464871,Fan,0
116,1,32.6432675452,0,1,1,0,0,0,1,0,0,0,0,0.0043234760356203475,0.0485832843871928,0.00478442813602807,0.06264045821784175,0.08704317719828766,0.8849002613559306,Fan,0
117,3,144.229266042,0,2,1,0,0,0,0,1,0,0,0,0.01239477806510551,0.10298984028198442,0.0032777839768795398,0.05223742115489775,0.12829073142681202,0.9287132029378624,Fridge,0
118,3,401.57429351519994,0,1,1,0,0,0,1,0,0,0,0,0.0009077956208864124,0.022171725562158042,6.853419774700919e-05,0.0188433540692576,0.033259520327391275,0.993646055012442,Hairdryer,0
119,3,399.739596423,0,1,1,0,0,0,1,0,0,0,0,0.0007490733506629612,0.022614362892697804,0.000312871484848154,0.018671625417844454,0.033325914656237264,0.993652427299106,Hairdryer,0
120,3,399.38329884800004,0,1,1,0,0,0,1,0,0,0,0,0.0006819507168080768,0.02226206951644261,7.330368970793257e-05,0.01881287298653045,0.0330962958340465,0.993603759349962,Hairdryer,0
121,3,398.41128622639997,0,1,1,0,0,0,1,0,0,0,0,0.00020327246881197782,0.022001007280186426,0.00017451075403381277,0.019162332770568138,0.033161302355177384,0.9936036717408212,Hairdryer,0
122,3,399.02371555599996,0,1,1,0,0,0,1,0,0,0,0,0.0005623458703801554,0.022557590494296332,0.00014316953035879628,0.018699115976750745,0.03323972590914746,0.9935740392208454,Hairdryer,0
123,4,1396.2378627370001,0,1,1,0,0,0,1,0,0,0,0,0.0015406604469306749,0.011879932303137422,0.0014962783769316675,0.026910655036793376,0.04244556291106797,0.9966121912343288,Heater,0
124,4,1204.9384781048,0,3,1,0,0,0,0,0,1,0,0,0.012239139292287638,0.2584663245562829,0.012694570942633264,0.13602659311877335,0.32970378756608826,0.9210433202518806,Heater,0
125,4,1391.6973478648001,0,1,1,0,0,0,1,0,0,0,0,0.0022382580042071814,0.011809407502952549,0.001819963034660237,0.02722331817947331,0.04208781820793797,0.996627445438044,Heater,0
126,4,1199.8684553214,0,3,1,0,0,0,0,0,1,0,0,0.010880855884566528,0.2588585457952506,0.011096815480086505,0.13612062859621507,0.3297856287180512,0.9209689161503608,Heater,0
127,4,1406.7840926452,0,1,1,0,0,0,1,0,0,0,0,0.002676702432797826,0.011949809773545109,0.002278725853780698,0.026940312411031824,0.04232324594287281,0.996543941111757,Heater,0
128,4,1189.5415217384,0,3,1,0,0,0,0,0,1,0,0,0.011153643194707984,0.2597035474318767,0.010750804650877905,0.1363844026841285,0.3307396382055777,0.9207078190572846,Heater,0
129,1,31.711734476,1,0,0,1,0,0,0,0,0,0,0,0.0031379361382300945,0.9605242404391844,0.00463915182109619,0.7978531966281804,1.523186810930571,0.5173563822315379,Laptop,0
130,1,31.037380974,1,0,0,1,0,0,0,0,0,0,0,0.014193415104634132,0.963225135752224,0.013219821258366909,0.8047033013981031,1.5361395681590289,0.5149822413620505,Laptop,0
131,1,35.68638458779999,1,0,0,1,0,0,0,0,0,0,0,0.012804905631696666,0.9360528199160856,0.016548538369002736,0.7560108638357291,1.4225371946398953,0.5266001163369239,Laptop,0
132,1,32.646039855599994,1,0,0,1,0,0,0,0,0,0,0,0.010781638481685134,0.95427178910594,0.008734155990203487,0.7879610141469856,1.4984953098238585,0.5192551406928705,Laptop,0
133,1,33.015268318800004,1,0,0,1,0,0,0,0,0,0,0,0.014611153142773718,0.949704968547796,0.011422414308135296,0.7822874858286119,1.4873318576473349,0.5232020033413931,Laptop,0
134,1,21.91846427,0,1,1,0,0,0,1,0,0,0,0,0.004370385224568187,0.02171629526234713,0.002121682115630341,0.024089574322271073,0.035251901583815894,0.970327493233736,Incandescent Light Bulb,0
135,1,21.618644633000002,0,1,1,0,0,0,1,0,0,0,0,0.02171819337767816,0.02579023820024532,0.009077357540190713,0.01890876528248444,0.041891803134057035,0.9677683190503908,Incandescent Light Bulb,0
136,1,21.677432806,0,1,1,0,0,0,1,0,0,0,0,0.002516681449908518,0.022535254151988128,0.0012196760615686296,0.02211168163496593,0.034280089690745336,0.9683035243452408,Incandescent Light Bulb,0
137,1,21.615076488000003,0,1,1,0,0,0,1,0,0,0,0,0.007711358494961758,0.02300014671330759,0.00764661913791465,0.021918591080320786,0.03621303385298618,0.9678921102735814,Incandescent Light Bulb,0
138,0,17.9463269822,1,0,0,1,0,0,0,0,0,0,0,0.003091149831757896,0.8437585782380296,0.004142927468443406,0.5445983727693415,1.233083891968065,0.5169494764793106,Compact Fluorescent Lamp,0
139,0,18.1134212422,1,0,0,1,0,0,0,0,0,0,0,0.005610044243888984,0.839028769466655,0.005332514009202765,0.5367955274092895,1.214217000520883,0.5200145914194891,Compact Fluorescent Lamp,0
